traffic matrix input file: ./output_pipeline/mpi_ring_host64_chunks1_size16777216/mpi_ring_host64_chunks1_size16777216.cm
topology type DragonFlyPlusTopology
no_of_nodes 64
Hop latency set to 1
Switch latency set to 0.05
queue_type 8
PFC thresholds high 15 low 12
queue size threshold 64
Start connectios with a random delay of upto 200000us
endtime(us) 800000
logging traffic
logtime 1 ms
Parsed args
Logging to logout.dat
RoceSinkLoggerSampling(p=0.001 init 
Dragonfly+ with large topology type
Link latencies: 1 and switch latencies: 0.05
Connection 34->35 starting at 1.84467e+13 size 16777216
Connection 35->36 starting at 1.84467e+13 size 16777216
Connection 36->37 starting at 1.84467e+13 size 16777216
Connection 37->38 starting at 1.84467e+13 size 16777216
Connection 38->39 starting at 1.84467e+13 size 16777216
Connection 39->40 starting at 1.84467e+13 size 16777216
Connection 40->41 starting at 1.84467e+13 size 16777216
Connection 41->42 starting at 1.84467e+13 size 16777216
Connection 42->43 starting at 1.84467e+13 size 16777216
Connection 43->44 starting at 1.84467e+13 size 16777216
Connection 44->45 starting at 1.84467e+13 size 16777216
Connection 45->46 starting at 1.84467e+13 size 16777216
Connection 46->47 starting at 1.84467e+13 size 16777216
Connection 49->50 starting at 0 size 16777216
Start is 63187.8
startflow Roce_49_50 at 0
Connection 50->51 starting at 1.84467e+13 size 16777216
Connection 51->52 starting at 1.84467e+13 size 16777216
Connection 52->53 starting at 1.84467e+13 size 16777216
Connection 53->54 starting at 1.84467e+13 size 16777216
Connection 54->55 starting at 1.84467e+13 size 16777216
Connection 55->56 starting at 1.84467e+13 size 16777216
Connection 56->57 starting at 1.84467e+13 size 16777216
Connection 57->58 starting at 1.84467e+13 size 16777216
Connection 58->59 starting at 1.84467e+13 size 16777216
Connection 59->60 starting at 1.84467e+13 size 16777216
Connection 60->61 starting at 1.84467e+13 size 16777216
Connection 61->62 starting at 1.84467e+13 size 16777216
Connection 62->63 starting at 1.84467e+13 size 16777216
Connection 63->0 starting at 1.84467e+13 size 16777216
Connection 0->1 starting at 1.84467e+13 size 16777216
Connection 1->2 starting at 1.84467e+13 size 16777216
Connection 2->3 starting at 1.84467e+13 size 16777216
Connection 3->4 starting at 1.84467e+13 size 16777216
Connection 4->5 starting at 1.84467e+13 size 16777216
Connection 5->6 starting at 1.84467e+13 size 16777216
Connection 6->7 starting at 1.84467e+13 size 16777216
Connection 7->8 starting at 1.84467e+13 size 16777216
Connection 8->9 starting at 1.84467e+13 size 16777216
Connection 9->10 starting at 1.84467e+13 size 16777216
Connection 10->11 starting at 1.84467e+13 size 16777216
Connection 11->12 starting at 1.84467e+13 size 16777216
Connection 12->13 starting at 1.84467e+13 size 16777216
Connection 13->14 starting at 1.84467e+13 size 16777216
Connection 14->15 starting at 1.84467e+13 size 16777216
Connection 15->16 starting at 1.84467e+13 size 16777216
Connection 16->17 starting at 1.84467e+13 size 16777216
Connection 17->18 starting at 1.84467e+13 size 16777216
Connection 18->19 starting at 1.84467e+13 size 16777216
Connection 19->20 starting at 1.84467e+13 size 16777216
Connection 20->21 starting at 1.84467e+13 size 16777216
Connection 21->22 starting at 1.84467e+13 size 16777216
Connection 22->23 starting at 1.84467e+13 size 16777216
Connection 23->24 starting at 1.84467e+13 size 16777216
Connection 24->25 starting at 1.84467e+13 size 16777216
Connection 25->26 starting at 1.84467e+13 size 16777216
Connection 26->27 starting at 1.84467e+13 size 16777216
Connection 27->28 starting at 1.84467e+13 size 16777216
Connection 28->29 starting at 1.84467e+13 size 16777216
Connection 29->30 starting at 1.84467e+13 size 16777216
Connection 30->31 starting at 1.84467e+13 size 16777216
Connection 31->32 starting at 1.84467e+13 size 16777216
Connection 32->33 starting at 1.84467e+13 size 16777216
Connection 33->34 starting at 1.84467e+13 size 16777216
Connection 34->35 starting at 1.84467e+13 size 16777216
Connection 35->36 starting at 1.84467e+13 size 16777216
Connection 36->37 starting at 1.84467e+13 size 16777216
Connection 37->38 starting at 1.84467e+13 size 16777216
Connection 38->39 starting at 1.84467e+13 size 16777216
Connection 39->40 starting at 1.84467e+13 size 16777216
Connection 40->41 starting at 1.84467e+13 size 16777216
Connection 41->42 starting at 1.84467e+13 size 16777216
Connection 42->43 starting at 1.84467e+13 size 16777216
Connection 43->44 starting at 1.84467e+13 size 16777216
Connection 44->45 starting at 1.84467e+13 size 16777216
Connection 45->46 starting at 1.84467e+13 size 16777216
Connection 46->47 starting at 1.84467e+13 size 16777216
Connection 47->48 starting at 1.84467e+13 size 16777216
Connection 50->51 starting at 0 size 16777216
Start is 140341
startflow Roce_50_51 at 0
Connection 51->52 starting at 1.84467e+13 size 16777216
Connection 52->53 starting at 1.84467e+13 size 16777216
Connection 53->54 starting at 1.84467e+13 size 16777216
Connection 54->55 starting at 1.84467e+13 size 16777216
Connection 55->56 starting at 1.84467e+13 size 16777216
Connection 56->57 starting at 1.84467e+13 size 16777216
Connection 57->58 starting at 1.84467e+13 size 16777216
Connection 58->59 starting at 1.84467e+13 size 16777216
Connection 59->60 starting at 1.84467e+13 size 16777216
Connection 60->61 starting at 1.84467e+13 size 16777216
Connection 61->62 starting at 1.84467e+13 size 16777216
Connection 62->63 starting at 1.84467e+13 size 16777216
Connection 63->0 starting at 1.84467e+13 size 16777216
Connection 0->1 starting at 1.84467e+13 size 16777216
Connection 1->2 starting at 1.84467e+13 size 16777216
Connection 2->3 starting at 1.84467e+13 size 16777216
Connection 3->4 starting at 1.84467e+13 size 16777216
Connection 4->5 starting at 1.84467e+13 size 16777216
Connection 5->6 starting at 1.84467e+13 size 16777216
Connection 6->7 starting at 1.84467e+13 size 16777216
Connection 7->8 starting at 1.84467e+13 size 16777216
Connection 8->9 starting at 1.84467e+13 size 16777216
Connection 9->10 starting at 1.84467e+13 size 16777216
Connection 10->11 starting at 1.84467e+13 size 16777216
Connection 11->12 starting at 1.84467e+13 size 16777216
Connection 12->13 starting at 1.84467e+13 size 16777216
Connection 13->14 starting at 1.84467e+13 size 16777216
Connection 14->15 starting at 1.84467e+13 size 16777216
Connection 15->16 starting at 1.84467e+13 size 16777216
Connection 16->17 starting at 1.84467e+13 size 16777216
Connection 17->18 starting at 1.84467e+13 size 16777216
Connection 18->19 starting at 1.84467e+13 size 16777216
Connection 19->20 starting at 1.84467e+13 size 16777216
Connection 20->21 starting at 1.84467e+13 size 16777216
Connection 21->22 starting at 1.84467e+13 size 16777216
Connection 22->23 starting at 1.84467e+13 size 16777216
Connection 23->24 starting at 1.84467e+13 size 16777216
Connection 24->25 starting at 1.84467e+13 size 16777216
Connection 25->26 starting at 1.84467e+13 size 16777216
Connection 26->27 starting at 1.84467e+13 size 16777216
Connection 27->28 starting at 1.84467e+13 size 16777216
Connection 28->29 starting at 1.84467e+13 size 16777216
Connection 29->30 starting at 1.84467e+13 size 16777216
Connection 30->31 starting at 1.84467e+13 size 16777216
Connection 31->32 starting at 1.84467e+13 size 16777216
Connection 32->33 starting at 1.84467e+13 size 16777216
Connection 33->34 starting at 1.84467e+13 size 16777216
Connection 34->35 starting at 1.84467e+13 size 16777216
Connection 35->36 starting at 1.84467e+13 size 16777216
Connection 36->37 starting at 1.84467e+13 size 16777216
Connection 37->38 starting at 1.84467e+13 size 16777216
Connection 38->39 starting at 1.84467e+13 size 16777216
Connection 39->40 starting at 1.84467e+13 size 16777216
Connection 40->41 starting at 1.84467e+13 size 16777216
Connection 41->42 starting at 1.84467e+13 size 16777216
Connection 42->43 starting at 1.84467e+13 size 16777216
Connection 43->44 starting at 1.84467e+13 size 16777216
Connection 44->45 starting at 1.84467e+13 size 16777216
Connection 45->46 starting at 1.84467e+13 size 16777216
Connection 46->47 starting at 1.84467e+13 size 16777216
Connection 47->48 starting at 1.84467e+13 size 16777216
Connection 48->49 starting at 1.84467e+13 size 16777216
Connection 51->52 starting at 0 size 16777216
Start is 73449.3
startflow Roce_51_52 at 0
Connection 52->53 starting at 1.84467e+13 size 16777216
Connection 53->54 starting at 1.84467e+13 size 16777216
Connection 54->55 starting at 1.84467e+13 size 16777216
Connection 55->56 starting at 1.84467e+13 size 16777216
Connection 56->57 starting at 1.84467e+13 size 16777216
Connection 57->58 starting at 1.84467e+13 size 16777216
Connection 58->59 starting at 1.84467e+13 size 16777216
Connection 59->60 starting at 1.84467e+13 size 16777216
Connection 60->61 starting at 1.84467e+13 size 16777216
Connection 61->62 starting at 1.84467e+13 size 16777216
Connection 62->63 starting at 1.84467e+13 size 16777216
Connection 63->0 starting at 1.84467e+13 size 16777216
Connection 0->1 starting at 1.84467e+13 size 16777216
Connection 1->2 starting at 1.84467e+13 size 16777216
Connection 2->3 starting at 1.84467e+13 size 16777216
Connection 3->4 starting at 1.84467e+13 size 16777216
Connection 4->5 starting at 1.84467e+13 size 16777216
Connection 5->6 starting at 1.84467e+13 size 16777216
Connection 6->7 starting at 1.84467e+13 size 16777216
Connection 7->8 starting at 1.84467e+13 size 16777216
Connection 8->9 starting at 1.84467e+13 size 16777216
Connection 9->10 starting at 1.84467e+13 size 16777216
Connection 10->11 starting at 1.84467e+13 size 16777216
Connection 11->12 starting at 1.84467e+13 size 16777216
Connection 12->13 starting at 1.84467e+13 size 16777216
Connection 13->14 starting at 1.84467e+13 size 16777216
Connection 14->15 starting at 1.84467e+13 size 16777216
Connection 15->16 starting at 1.84467e+13 size 16777216
Connection 16->17 starting at 1.84467e+13 size 16777216
Connection 17->18 starting at 1.84467e+13 size 16777216
Connection 18->19 starting at 1.84467e+13 size 16777216
Connection 19->20 starting at 1.84467e+13 size 16777216
Connection 20->21 starting at 1.84467e+13 size 16777216
Connection 21->22 starting at 1.84467e+13 size 16777216
Connection 22->23 starting at 1.84467e+13 size 16777216
Connection 23->24 starting at 1.84467e+13 size 16777216
Connection 24->25 starting at 1.84467e+13 size 16777216
Connection 25->26 starting at 1.84467e+13 size 16777216
Connection 26->27 starting at 1.84467e+13 size 16777216
Connection 27->28 starting at 1.84467e+13 size 16777216
Connection 28->29 starting at 1.84467e+13 size 16777216
Connection 29->30 starting at 1.84467e+13 size 16777216
Connection 30->31 starting at 1.84467e+13 size 16777216
Connection 31->32 starting at 1.84467e+13 size 16777216
Connection 32->33 starting at 1.84467e+13 size 16777216
Connection 33->34 starting at 1.84467e+13 size 16777216
Connection 34->35 starting at 1.84467e+13 size 16777216
Connection 35->36 starting at 1.84467e+13 size 16777216
Connection 36->37 starting at 1.84467e+13 size 16777216
Connection 37->38 starting at 1.84467e+13 size 16777216
Connection 38->39 starting at 1.84467e+13 size 16777216
Connection 39->40 starting at 1.84467e+13 size 16777216
Connection 40->41 starting at 1.84467e+13 size 16777216
Connection 41->42 starting at 1.84467e+13 size 16777216
Connection 42->43 starting at 1.84467e+13 size 16777216
Connection 43->44 starting at 1.84467e+13 size 16777216
Connection 44->45 starting at 1.84467e+13 size 16777216
Connection 45->46 starting at 1.84467e+13 size 16777216
Connection 46->47 starting at 1.84467e+13 size 16777216
Connection 47->48 starting at 1.84467e+13 size 16777216
Connection 48->49 starting at 1.84467e+13 size 16777216
Connection 49->50 starting at 1.84467e+13 size 16777216
Connection 52->53 starting at 0 size 16777216
Start is 175262
startflow Roce_52_53 at 0
Connection 53->54 starting at 1.84467e+13 size 16777216
Connection 54->55 starting at 1.84467e+13 size 16777216
Connection 55->56 starting at 1.84467e+13 size 16777216
Connection 56->57 starting at 1.84467e+13 size 16777216
Connection 57->58 starting at 1.84467e+13 size 16777216
Connection 58->59 starting at 1.84467e+13 size 16777216
Connection 59->60 starting at 1.84467e+13 size 16777216
Connection 60->61 starting at 1.84467e+13 size 16777216
Connection 61->62 starting at 1.84467e+13 size 16777216
Connection 62->63 starting at 1.84467e+13 size 16777216
Connection 63->0 starting at 1.84467e+13 size 16777216
Connection 0->1 starting at 1.84467e+13 size 16777216
Connection 1->2 starting at 1.84467e+13 size 16777216
Connection 2->3 starting at 1.84467e+13 size 16777216
Connection 3->4 starting at 1.84467e+13 size 16777216
Connection 4->5 starting at 1.84467e+13 size 16777216
Connection 5->6 starting at 1.84467e+13 size 16777216
Connection 6->7 starting at 1.84467e+13 size 16777216
Connection 7->8 starting at 1.84467e+13 size 16777216
Connection 8->9 starting at 1.84467e+13 size 16777216
Connection 9->10 starting at 1.84467e+13 size 16777216
Connection 10->11 starting at 1.84467e+13 size 16777216
Connection 11->12 starting at 1.84467e+13 size 16777216
Connection 12->13 starting at 1.84467e+13 size 16777216
Connection 13->14 starting at 1.84467e+13 size 16777216
Connection 14->15 starting at 1.84467e+13 size 16777216
Connection 15->16 starting at 1.84467e+13 size 16777216
Connection 16->17 starting at 1.84467e+13 size 16777216
Connection 17->18 starting at 1.84467e+13 size 16777216
Connection 18->19 starting at 1.84467e+13 size 16777216
Connection 19->20 starting at 1.84467e+13 size 16777216
Connection 20->21 starting at 1.84467e+13 size 16777216
Connection 21->22 starting at 1.84467e+13 size 16777216
Connection 22->23 starting at 1.84467e+13 size 16777216
Connection 23->24 starting at 1.84467e+13 size 16777216
Connection 24->25 starting at 1.84467e+13 size 16777216
Connection 25->26 starting at 1.84467e+13 size 16777216
Connection 26->27 starting at 1.84467e+13 size 16777216
Connection 27->28 starting at 1.84467e+13 size 16777216
Connection 28->29 starting at 1.84467e+13 size 16777216
Connection 29->30 starting at 1.84467e+13 size 16777216
Connection 30->31 starting at 1.84467e+13 size 16777216
Connection 31->32 starting at 1.84467e+13 size 16777216
Connection 32->33 starting at 1.84467e+13 size 16777216
Connection 33->34 starting at 1.84467e+13 size 16777216
Connection 34->35 starting at 1.84467e+13 size 16777216
Connection 35->36 starting at 1.84467e+13 size 16777216
Connection 36->37 starting at 1.84467e+13 size 16777216
Connection 37->38 starting at 1.84467e+13 size 16777216
Connection 38->39 starting at 1.84467e+13 size 16777216
Connection 39->40 starting at 1.84467e+13 size 16777216
Connection 40->41 starting at 1.84467e+13 size 16777216
Connection 41->42 starting at 1.84467e+13 size 16777216
Connection 42->43 starting at 1.84467e+13 size 16777216
Connection 43->44 starting at 1.84467e+13 size 16777216
Connection 44->45 starting at 1.84467e+13 size 16777216
Connection 45->46 starting at 1.84467e+13 size 16777216
Connection 46->47 starting at 1.84467e+13 size 16777216
Connection 47->48 starting at 1.84467e+13 size 16777216
Connection 48->49 starting at 1.84467e+13 size 16777216
Connection 49->50 starting at 1.84467e+13 size 16777216
Connection 50->51 starting at 1.84467e+13 size 16777216
Connection 53->54 starting at 0 size 16777216
Start is 74198.9
startflow Roce_53_54 at 0
Connection 54->55 starting at 1.84467e+13 size 16777216
Connection 55->56 starting at 1.84467e+13 size 16777216
Connection 56->57 starting at 1.84467e+13 size 16777216
Connection 57->58 starting at 1.84467e+13 size 16777216
Connection 58->59 starting at 1.84467e+13 size 16777216
Connection 59->60 starting at 1.84467e+13 size 16777216
Connection 60->61 starting at 1.84467e+13 size 16777216
Connection 61->62 starting at 1.84467e+13 size 16777216
Connection 62->63 starting at 1.84467e+13 size 16777216
Connection 63->0 starting at 1.84467e+13 size 16777216
Connection 0->1 starting at 1.84467e+13 size 16777216
Connection 1->2 starting at 1.84467e+13 size 16777216
Connection 2->3 starting at 1.84467e+13 size 16777216
Connection 3->4 starting at 1.84467e+13 size 16777216
Connection 4->5 starting at 1.84467e+13 size 16777216
Connection 5->6 starting at 1.84467e+13 size 16777216
Connection 6->7 starting at 1.84467e+13 size 16777216
Connection 7->8 starting at 1.84467e+13 size 16777216
Connection 8->9 starting at 1.84467e+13 size 16777216
Connection 9->10 starting at 1.84467e+13 size 16777216
Connection 10->11 starting at 1.84467e+13 size 16777216
Connection 11->12 starting at 1.84467e+13 size 16777216
Connection 12->13 starting at 1.84467e+13 size 16777216
Connection 13->14 starting at 1.84467e+13 size 16777216
Connection 14->15 starting at 1.84467e+13 size 16777216
Connection 15->16 starting at 1.84467e+13 size 16777216
Connection 16->17 starting at 1.84467e+13 size 16777216
Connection 17->18 starting at 1.84467e+13 size 16777216
Connection 18->19 starting at 1.84467e+13 size 16777216
Connection 19->20 starting at 1.84467e+13 size 16777216
Connection 20->21 starting at 1.84467e+13 size 16777216
Connection 21->22 starting at 1.84467e+13 size 16777216
Connection 22->23 starting at 1.84467e+13 size 16777216
Connection 23->24 starting at 1.84467e+13 size 16777216
Connection 24->25 starting at 1.84467e+13 size 16777216
Connection 25->26 starting at 1.84467e+13 size 16777216
Connection 26->27 starting at 1.84467e+13 size 16777216
Connection 27->28 starting at 1.84467e+13 size 16777216
Connection 28->29 starting at 1.84467e+13 size 16777216
Connection 29->30 starting at 1.84467e+13 size 16777216
Connection 30->31 starting at 1.84467e+13 size 16777216
Connection 31->32 starting at 1.84467e+13 size 16777216
Connection 32->33 starting at 1.84467e+13 size 16777216
Connection 33->34 starting at 1.84467e+13 size 16777216
Connection 34->35 starting at 1.84467e+13 size 16777216
Connection 35->36 starting at 1.84467e+13 size 16777216
Connection 36->37 starting at 1.84467e+13 size 16777216
Connection 37->38 starting at 1.84467e+13 size 16777216
Connection 38->39 starting at 1.84467e+13 size 16777216
Connection 39->40 starting at 1.84467e+13 size 16777216
Connection 40->41 starting at 1.84467e+13 size 16777216
Connection 41->42 starting at 1.84467e+13 size 16777216
Connection 42->43 starting at 1.84467e+13 size 16777216
Connection 43->44 starting at 1.84467e+13 size 16777216
Connection 44->45 starting at 1.84467e+13 size 16777216
Connection 45->46 starting at 1.84467e+13 size 16777216
Connection 46->47 starting at 1.84467e+13 size 16777216
Connection 47->48 starting at 1.84467e+13 size 16777216
Connection 48->49 starting at 1.84467e+13 size 16777216
Connection 49->50 starting at 1.84467e+13 size 16777216
Connection 50->51 starting at 1.84467e+13 size 16777216
Connection 51->52 starting at 1.84467e+13 size 16777216
Connection 54->55 starting at 0 size 16777216
Start is 105050
startflow Roce_54_55 at 0
Connection 55->56 starting at 1.84467e+13 size 16777216
Connection 56->57 starting at 1.84467e+13 size 16777216
Connection 57->58 starting at 1.84467e+13 size 16777216
Connection 58->59 starting at 1.84467e+13 size 16777216
Connection 59->60 starting at 1.84467e+13 size 16777216
Connection 60->61 starting at 1.84467e+13 size 16777216
Connection 61->62 starting at 1.84467e+13 size 16777216
Connection 62->63 starting at 1.84467e+13 size 16777216
Connection 63->0 starting at 1.84467e+13 size 16777216
Connection 0->1 starting at 1.84467e+13 size 16777216
Connection 1->2 starting at 1.84467e+13 size 16777216
Connection 2->3 starting at 1.84467e+13 size 16777216
Connection 3->4 starting at 1.84467e+13 size 16777216
Connection 4->5 starting at 1.84467e+13 size 16777216
Connection 5->6 starting at 1.84467e+13 size 16777216
Connection 6->7 starting at 1.84467e+13 size 16777216
Connection 7->8 starting at 1.84467e+13 size 16777216
Connection 8->9 starting at 1.84467e+13 size 16777216
Connection 9->10 starting at 1.84467e+13 size 16777216
Connection 10->11 starting at 1.84467e+13 size 16777216
Connection 11->12 starting at 1.84467e+13 size 16777216
Connection 12->13 starting at 1.84467e+13 size 16777216
Connection 13->14 starting at 1.84467e+13 size 16777216
Connection 14->15 starting at 1.84467e+13 size 16777216
Connection 15->16 starting at 1.84467e+13 size 16777216
Connection 16->17 starting at 1.84467e+13 size 16777216
Connection 17->18 starting at 1.84467e+13 size 16777216
Connection 18->19 starting at 1.84467e+13 size 16777216
Connection 19->20 starting at 1.84467e+13 size 16777216
Connection 20->21 starting at 1.84467e+13 size 16777216
Connection 21->22 starting at 1.84467e+13 size 16777216
Connection 22->23 starting at 1.84467e+13 size 16777216
Connection 23->24 starting at 1.84467e+13 size 16777216
Connection 24->25 starting at 1.84467e+13 size 16777216
Connection 25->26 starting at 1.84467e+13 size 16777216
Connection 26->27 starting at 1.84467e+13 size 16777216
Connection 27->28 starting at 1.84467e+13 size 16777216
Connection 28->29 starting at 1.84467e+13 size 16777216
Connection 29->30 starting at 1.84467e+13 size 16777216
Connection 30->31 starting at 1.84467e+13 size 16777216
Connection 31->32 starting at 1.84467e+13 size 16777216
Connection 32->33 starting at 1.84467e+13 size 16777216
Connection 33->34 starting at 1.84467e+13 size 16777216
Connection 34->35 starting at 1.84467e+13 size 16777216
Connection 35->36 starting at 1.84467e+13 size 16777216
Connection 36->37 starting at 1.84467e+13 size 16777216
Connection 37->38 starting at 1.84467e+13 size 16777216
Connection 38->39 starting at 1.84467e+13 size 16777216
Connection 39->40 starting at 1.84467e+13 size 16777216
Connection 40->41 starting at 1.84467e+13 size 16777216
Connection 41->42 starting at 1.84467e+13 size 16777216
Connection 42->43 starting at 1.84467e+13 size 16777216
Connection 43->44 starting at 1.84467e+13 size 16777216
Connection 44->45 starting at 1.84467e+13 size 16777216
Connection 45->46 starting at 1.84467e+13 size 16777216
Connection 46->47 starting at 1.84467e+13 size 16777216
Connection 47->48 starting at 1.84467e+13 size 16777216
Connection 48->49 starting at 1.84467e+13 size 16777216
Connection 49->50 starting at 1.84467e+13 size 16777216
Connection 50->51 starting at 1.84467e+13 size 16777216
Connection 51->52 starting at 1.84467e+13 size 16777216
Connection 52->53 starting at 1.84467e+13 size 16777216
Connection 55->56 starting at 0 size 16777216
Start is 85566.9
startflow Roce_55_56 at 0
Connection 56->57 starting at 1.84467e+13 size 16777216
Connection 57->58 starting at 1.84467e+13 size 16777216
Connection 58->59 starting at 1.84467e+13 size 16777216
Connection 59->60 starting at 1.84467e+13 size 16777216
Connection 60->61 starting at 1.84467e+13 size 16777216
Connection 61->62 starting at 1.84467e+13 size 16777216
Connection 62->63 starting at 1.84467e+13 size 16777216
Connection 63->0 starting at 1.84467e+13 size 16777216
Connection 0->1 starting at 1.84467e+13 size 16777216
Connection 1->2 starting at 1.84467e+13 size 16777216
Connection 2->3 starting at 1.84467e+13 size 16777216
Connection 3->4 starting at 1.84467e+13 size 16777216
Connection 4->5 starting at 1.84467e+13 size 16777216
Connection 5->6 starting at 1.84467e+13 size 16777216
Connection 6->7 starting at 1.84467e+13 size 16777216
Connection 7->8 starting at 1.84467e+13 size 16777216
Connection 8->9 starting at 1.84467e+13 size 16777216
Connection 9->10 starting at 1.84467e+13 size 16777216
Connection 10->11 starting at 1.84467e+13 size 16777216
Connection 11->12 starting at 1.84467e+13 size 16777216
Connection 12->13 starting at 1.84467e+13 size 16777216
Connection 13->14 starting at 1.84467e+13 size 16777216
Connection 14->15 starting at 1.84467e+13 size 16777216
Connection 15->16 starting at 1.84467e+13 size 16777216
Connection 16->17 starting at 1.84467e+13 size 16777216
Connection 17->18 starting at 1.84467e+13 size 16777216
Connection 18->19 starting at 1.84467e+13 size 16777216
Connection 19->20 starting at 1.84467e+13 size 16777216
Connection 20->21 starting at 1.84467e+13 size 16777216
Connection 21->22 starting at 1.84467e+13 size 16777216
Connection 22->23 starting at 1.84467e+13 size 16777216
Connection 23->24 starting at 1.84467e+13 size 16777216
Connection 24->25 starting at 1.84467e+13 size 16777216
Connection 25->26 starting at 1.84467e+13 size 16777216
Connection 26->27 starting at 1.84467e+13 size 16777216
Connection 27->28 starting at 1.84467e+13 size 16777216
Connection 28->29 starting at 1.84467e+13 size 16777216
Connection 29->30 starting at 1.84467e+13 size 16777216
Connection 30->31 starting at 1.84467e+13 size 16777216
Connection 31->32 starting at 1.84467e+13 size 16777216
Connection 32->33 starting at 1.84467e+13 size 16777216
Connection 33->34 starting at 1.84467e+13 size 16777216
Connection 34->35 starting at 1.84467e+13 size 16777216
Connection 35->36 starting at 1.84467e+13 size 16777216
Connection 36->37 starting at 1.84467e+13 size 16777216
Connection 37->38 starting at 1.84467e+13 size 16777216
Connection 38->39 starting at 1.84467e+13 size 16777216
Connection 39->40 starting at 1.84467e+13 size 16777216
Connection 40->41 starting at 1.84467e+13 size 16777216
Connection 41->42 starting at 1.84467e+13 size 16777216
Connection 42->43 starting at 1.84467e+13 size 16777216
Connection 43->44 starting at 1.84467e+13 size 16777216
Connection 44->45 starting at 1.84467e+13 size 16777216
Connection 45->46 starting at 1.84467e+13 size 16777216
Connection 46->47 starting at 1.84467e+13 size 16777216
Connection 47->48 starting at 1.84467e+13 size 16777216
Connection 48->49 starting at 1.84467e+13 size 16777216
Connection 49->50 starting at 1.84467e+13 size 16777216
Connection 50->51 starting at 1.84467e+13 size 16777216
Connection 51->52 starting at 1.84467e+13 size 16777216
Connection 52->53 starting at 1.84467e+13 size 16777216
Connection 53->54 starting at 1.84467e+13 size 16777216
Connection 56->57 starting at 0 size 16777216
Start is 108549
startflow Roce_56_57 at 0
Connection 57->58 starting at 1.84467e+13 size 16777216
Connection 58->59 starting at 1.84467e+13 size 16777216
Connection 59->60 starting at 1.84467e+13 size 16777216
Connection 60->61 starting at 1.84467e+13 size 16777216
Connection 61->62 starting at 1.84467e+13 size 16777216
Connection 62->63 starting at 1.84467e+13 size 16777216
Connection 63->0 starting at 1.84467e+13 size 16777216
Connection 0->1 starting at 1.84467e+13 size 16777216
Connection 1->2 starting at 1.84467e+13 size 16777216
Connection 2->3 starting at 1.84467e+13 size 16777216
Connection 3->4 starting at 1.84467e+13 size 16777216
Connection 4->5 starting at 1.84467e+13 size 16777216
Connection 5->6 starting at 1.84467e+13 size 16777216
Connection 6->7 starting at 1.84467e+13 size 16777216
Connection 7->8 starting at 1.84467e+13 size 16777216
Connection 8->9 starting at 1.84467e+13 size 16777216
Connection 9->10 starting at 1.84467e+13 size 16777216
Connection 10->11 starting at 1.84467e+13 size 16777216
Connection 11->12 starting at 1.84467e+13 size 16777216
Connection 12->13 starting at 1.84467e+13 size 16777216
Connection 13->14 starting at 1.84467e+13 size 16777216
Connection 14->15 starting at 1.84467e+13 size 16777216
Connection 15->16 starting at 1.84467e+13 size 16777216
Connection 16->17 starting at 1.84467e+13 size 16777216
Connection 17->18 starting at 1.84467e+13 size 16777216
Connection 18->19 starting at 1.84467e+13 size 16777216
Connection 19->20 starting at 1.84467e+13 size 16777216
Connection 20->21 starting at 1.84467e+13 size 16777216
Connection 21->22 starting at 1.84467e+13 size 16777216
Connection 22->23 starting at 1.84467e+13 size 16777216
Connection 23->24 starting at 1.84467e+13 size 16777216
Connection 24->25 starting at 1.84467e+13 size 16777216
Connection 25->26 starting at 1.84467e+13 size 16777216
Connection 26->27 starting at 1.84467e+13 size 16777216
Connection 27->28 starting at 1.84467e+13 size 16777216
Connection 28->29 starting at 1.84467e+13 size 16777216
Connection 29->30 starting at 1.84467e+13 size 16777216
Connection 30->31 starting at 1.84467e+13 size 16777216
Connection 31->32 starting at 1.84467e+13 size 16777216
Connection 32->33 starting at 1.84467e+13 size 16777216
Connection 33->34 starting at 1.84467e+13 size 16777216
Connection 34->35 starting at 1.84467e+13 size 16777216
Connection 35->36 starting at 1.84467e+13 size 16777216
Connection 36->37 starting at 1.84467e+13 size 16777216
Connection 37->38 starting at 1.84467e+13 size 16777216
Connection 38->39 starting at 1.84467e+13 size 16777216
Connection 39->40 starting at 1.84467e+13 size 16777216
Connection 40->41 starting at 1.84467e+13 size 16777216
Connection 41->42 starting at 1.84467e+13 size 16777216
Connection 42->43 starting at 1.84467e+13 size 16777216
Connection 43->44 starting at 1.84467e+13 size 16777216
Connection 44->45 starting at 1.84467e+13 size 16777216
Connection 45->46 starting at 1.84467e+13 size 16777216
Connection 46->47 starting at 1.84467e+13 size 16777216
Connection 47->48 starting at 1.84467e+13 size 16777216
Connection 48->49 starting at 1.84467e+13 size 16777216
Connection 49->50 starting at 1.84467e+13 size 16777216
Connection 50->51 starting at 1.84467e+13 size 16777216
Connection 51->52 starting at 1.84467e+13 size 16777216
Connection 52->53 starting at 1.84467e+13 size 16777216
Connection 53->54 starting at 1.84467e+13 size 16777216
Connection 54->55 starting at 1.84467e+13 size 16777216
Connection 57->58 starting at 0 size 16777216
Start is 133596
startflow Roce_57_58 at 0
Connection 58->59 starting at 1.84467e+13 size 16777216
Connection 59->60 starting at 1.84467e+13 size 16777216
Connection 60->61 starting at 1.84467e+13 size 16777216
Connection 61->62 starting at 1.84467e+13 size 16777216
